,steamid,name,kdr,accuracy,htk,shotsfired
183,76561198123110320,axiOn,1.0,17,4.0,823047
184,76561198131177097,emiliqqq,1.0,15,3.0,2762487
185,76561198143052389,Hovikeiju,1.1,18,3.9,488773
186,76561198160185353,ketis,0.8,15,3.3,4396725
187,76561198162984850,alfa,1.0,14,3.4,903143
188,76561198194126886,SKYTRiXSHA,1.0,17,2.2,1159424
189,76561198215214621,shipz[:> VBet.com,0.9,21,3.2,261040
190,76561198404043047,spi,1.1,21,4.2,10640
191,76561198870011657,spoonlae moonlae,1.3,15,2.7,27256
192,76561197960268122,JZFBEAST,0.7,18,3.5,4012875
193,76561197960281522,kravi,1.0,18,3.3,2351474
194,76561197960284752,brax,0.9,17,3.4,13412338
195,76561197960356678,crtmN,0.8,15,3.6,114880
196,76561197960392713,anger,1.3,17,3.1,5475976
197,76561197960447193,weber,1.2,14,2.7,3170844
198,76561197960486593,nekfeu,1.3,16,3.1,7425999
199,76561197960499780,TasmanianDevil,1.0,18,2.8,14853324
200,76561197960547356,PineKone,1.3,17,3.3,2781981
201,76561197960677505,arya,1.0,15,3.2,3586561
202,76561197961264589,DocWizard,0.9,17,3.5,815920
203,76561197962511667,billybob,0.8,18,2.9,3163334
204,76561197966107627,Save the cheerleader,0.6,18,2.8,3293938
205,76561197967516987,Cooper,1.0,22,3.4,6190069
206,76561197968852385,ddddd,1.0,16,3.0,4609894
207,76561197968931634,iNEB,0.9,17,3.4,3536692
208,76561197970838518,Relyks,1.0,19,2.9,6033967
209,76561197971921081,PENGUIN,0.9,17,3.7,1497307
210,76561197973097007,Eli',0.8,16,3.2,1977236
211,76561197975308947,a2z,1.1,17,3.6,9691810
212,76561197975338918,nicilicious,0.9,15,3.1,3402983
213,76561197977105184,Ned Kelly,1.2,17,3.3,7510295
214,76561197978481975,t4r1k,1.1,17,3.1,5948702
215,76561197980965810,khrystal,1.2,16,2.6,2835861
216,76561197981341453,pancake,1.7,23,2.5,4500091
217,76561197983822687,SicK,1.4,19,3.4,8432121
218,76561197988539104,chrisJ,0.9,18,2.7,7034972
219,76561197989203490,SileNt^v^,1.0,16,3.2,6786597
220,76561197991272318,ropz,1.0,24,3.2,2231594
221,76561197994000476,choNg,1.0,14,3.5,2781363
222,76561198008092757,JennyCupcakes,0.9,16,2.2,1568925
223,76561198013406127,mimin$ane :>,1.1,17,2.8,4632039
224,76561198017578295,pyth =DD,1.2,15,2.7,7914056
225,76561198018008308,AWPimp - Twitch.tv/PimpCSGO,1.3,19,3.2,8759283
226,76561198018027263,Velho Ditado,1.1,17,2.8,3709800
227,76561198033141686,aurorayaaay,0.7,16,3.6,4106246
228,76561198034219516,godson NEED FOR APEX :(,1.2,21,2.9,1385676
229,76561198035292095,wit,1.0,19,3.0,7222949
230,76561198051710691,abdi,1.0,18,3.0,1806195
231,76561198051832860,BIG THICCUMS,1.0,19,3.4,701976
232,76561198054870849,curly fries,1.0,18,3.3,6732270
233,76561198058500492,DROGON,1.4,16,2.1,4667018
234,76561198069717112,Gyll,1.0,18,3.7,2318178
235,76561198071181795,handi,0.7,18,3.8,4667440
236,76561198072264947,Subroza,0.9,16,3.4,8174216
237,76561198072466723,meph,1.0,16,3.0,2330772
238,76561198080403350,fund1p,0.9,17,3.4,853080
239,76561198098421988,obo,1.1,16,2.8,1582010
240,76561198147103006,tailored,0.9,17,3.5,4044767
241,76561198169406931,headon,1.1,19,3.1,3876630
242,76561198247554160,s0m\_^.^,1.1,15,2.7,3187097
243,76561198260955712,Dominus,0.9,13,1.8,764361
244,76561198283140993,Twitch.tv/rizegmes,1.0,16,3.1,1370653
245,76561198297624714,tryhard,1.1,17,3.3,3375744
246,76561198401691561,heehaw,1.3,18,3.7,785690
247,76561197960499780,TasmanianDevil,1.0,18,2.8,14853324
248,76561197961980258,diamon,1.4,20,3.1,3035571
249,76561197963030306,rogal,1.1,13,2.5,1714768
250,76561197964992571,shawn,1.3,18,3.2,1137783
251,76561197965946126,NAPSTER0iq,1.1,15,3.1,2739883
252,76561197967824412,analizator[J]/>,1.6,18,3.0,1068571
253,76561197968740429,bdn,1.0,14,3.0,1537402
254,76561197969754674,a8d1[btg],1.3,16,3.0,4776948
255,76561197973097007,Eli',0.8,16,3.2,1977236
256,76561197976267396,hekti,1.3,18,2.5,1195581
257,76561197976620658,OLD STARS ARE GONE,1.0,17,3.3,5327812
258,76561197979789134,DZOLERO,0.9,15,3.5,2157651
259,76561197980016612,BeneD,1.3,15,3.5,615786
260,76561197980532217,DiRT,1.3,16,3.2,3801761
261,76561197981266138,hai,1.0,13,3.5,1075891
262,76561197984765261,Siema Kto PL,1.2,17,3.3,3741283
263,76561197986912757,kari555,1.0,18,3.5,2081217
264,76561197987641887,Camel,1.4,15,3.0,2812794
265,76561197989620454,minise^,1.1,15,2.6,7392227
266,76561197990158194,mkzishhhhh,1.7,19,3.2,887870
267,76561197990284083,AKME cya,1.1,16,3.2,1314890
268,76561197992858143,maxiu,1.1,17,2.9,2694366
269,76561197994264721,kAM1*,1.2,17,3.0,3813722
270,76561197994574189,ayeK,0.9,15,3.0,2089748
271,76561197997332815,janek,0.9,13,4.2,164081
272,76561197999597092,no,1.2,16,3.0,1953388
273,76561198000793085,Mr. Kitler,1.3,17,3.4,1134107
274,76561198002067851,zmx$_______$,1.0,17,3.5,1562763
275,76561198016219606,KubiK,1.1,18,3.2,7439931
276,76561198016367524,nek,1.2,19,3.3,1782624
277,76561198032477249,dhn,1.1,19,3.4,10335901
278,76561198057116784,NorM3rT,1.0,16,3.3,2229482
279,76561198067177070,Fusia,0.9,17,4.3,1512385
280,76561198069486868,sir johnyxno rawr!,1.1,12,3.7,1748957
281,76561198150273612,pidgeon,2.1,19,3.0,416676
282,76561198164402219,Highend,1.0,17,3.4,5935265
283,76561198183349191,rAjzerw0w,1.3,15,2.6,2071280
284,76561198193965117,pattelele,1.1,16,3.2,808714
285,76561198374438317,spacja chuju,0.6,16,7.7,455424
286,76561197960499780,TasmanianDevil,1.0,18,2.8,14853324
287,76561197960712672,niku,1.1,17,3.3,3996555
288,76561197960742492,KR,1.3,16,3.1,3295572
289,76561197961980258,diamon,1.4,20,3.1,3035571
290,76561197963638095,ven,1.2,17,2.1,2386355
291,76561197964757026,tets,1.2,18,2.3,1606846
292,76561197967824412,analizator[J]/>,1.6,18,3.0,1068571
293,76561197970085128,moradin,1.2,17,3.2,3778634
294,76561197973823676,saju,1.0,16,3.0,5034620
295,76561197975784876,Tokz,1.4,14,2.8,1378070
296,76561197978351858,vorti,1.1,18,3.6,3281160
297,76561197982469726,AGAiN,1.1,17,3.1,781409
298,76561197986002978,FURY,1.1,15,2.8,2108979
299,76561197986392382,sheep,0.8,17,3.9,1397641
300,76561197986537366,czaq,1.3,16,3.1,1642181
301,76561197989620454,minise^,1.1,15,2.6,7392227
302,76561197990182479,THORO/>,1.5,18,3.3,2303260
303,76561197994305383,mgC,0.9,18,3.5,2068345
304,76561197994574189,ayeK,0.9,15,3.0,2089748
305,76561197998379732,Bani,1.0,15,3.4,3821136
306,76561198000184239,Pindolek,1.5,14,3.5,3788492
307,76561198000433717,LAJT,1.0,14,3.0,2829925
308,76561198000791295,LM CS.MONEY,1.3,16,3.2,1088183
309,76561198001190139,insidzior,1.0,16,3.6,8016844
310,76561198002203902,xiao,1.3,17,3.1,4571397
311,76561198002360259,bes,1.0,28,2.3,701251
312,76561198002622687,labedz,1.3,13,2.9,3330958
313,76561198003289342,fullspeed`,1.2,15,2.6,6957124
314,76561198005628725,gos,0.9,16,3.7,4194666
315,76561198007357279,Patrick;],1.0,16,3.2,2000114
316,76561198008631467,zalios,1.0,18,3.4,2419729
317,76561198008727227,M a r c e l e k,1.0,15,3.1,1944635
318,76561198009815687,RockyBANG,1.1,16,3.5,2411607
319,76561198011507915,STOMP,0.9,18,2.9,4612551
320,76561198012173746,Szero,0.9,15,3.4,2855970
321,76561198012736881,FENON <3,1.1,17,3.5,3970543
322,76561198014525556,Alask,1.0,20,3.7,4586611
323,76561198015908331,paulele,0.8,15,3.5,1391696
324,76561198016219606,KubiK,1.1,18,3.2,7439931
325,76561198016431068,Straszy,0.8,17,3.1,5661771
326,76561198016529232,deozJO,1.2,19,1.7,7050624
327,76561198017145480,HS,1.2,16,2.1,4223466
328,76561198017577983,Dziukens,1.2,17,2.8,1420418
329,76561198018958125,aVeQ,1.0,20,3.4,789645
330,76561198019571260,BoRDovvy,1.0,15,3.1,2036013
331,76561198019930506,debesciak,1.0,18,3.3,9047607
332,76561198021291159,Destroyer0fDreams,0.7,17,3.2,3296590
333,76561198021762052,doczu,0.9,18,3.4,1483764
334,76561198021900440,czajkoowski,1.2,17,3.1,1032691
335,76561198021944987,rito,1.1,16,3.4,2207177
336,76561198023063473,Tw1l1ghTT,1.1,15,2.9,7314870
337,76561198026311304,Barti,1.0,13,3.0,1355004
338,76561198026424901,wooToo,1.2,17,3.1,3501797
339,76561198027331187,FOSHER,1.0,16,2.9,2317816
340,76561198027872106,destroj,1.2,16,2.6,4120605
341,76561198028110915,Tybek*,0.9,18,3.8,455734
342,76561198028204359,Sylwia,1.1,15,3.5,4213338
343,76561198029785939,whiskeyo_,1.2,16,3.0,4928765
344,76561198031177046,KLODA nt,1.0,16,3.2,2980499
345,76561198031622384,misioREX,1.2,18,2.5,7199904
346,76561198032856630,Misiek,1.0,14,3.1,2330177
347,76561198034799862,K1NG,1.2,16,3.1,1489112
348,76561198035521802,PETZOR,1.0,15,3.6,1227333
349,76561198035532900,eNy ^ ;<,1.1,18,3.1,4715719
350,76561198035809795,mtsh,1.1,17,3.7,2343438
351,76561198036011899,Raven,0.9,14,2.3,3075264
352,76561198044403194,MiLiTOO,1.2,14,2.8,4021885
353,76561198044453683,Adelajn,0.7,15,3.9,6103254
354,76561198046798248,ziomq,1.0,17,4.2,5368230
355,76561198052723467,cheeser,1.1,15,3.1,2598777
356,76561198058376683,Arminex,1.1,17,2.8,1880800
357,76561198060910967,futu,1.0,17,3.3,1596146
358,76561198061796259,ltn:),1.2,17,3.3,21708366
359,76561198064606345,peet,1.2,19,2.7,5761811
360,76561198064913574,Bi3DRON,0.8,17,3.7,3602062
361,76561198068193814,used to be average,1.2,19,3.0,3410144
362,76561198069486868,sir johnyxno rawr!,1.1,12,3.7,1748957
363,76561198071466122,X,1.6,17,2.7,8001274
364,76561198071472158,iXo,0.9,17,2.9,3277665
365,76561198072170165,lars:),1.2,14,4.1,1410671
366,76561198074893220,madoy,1.0,18,3.5,2612276
367,76561198079043189,d Z I O B A K,1.2,18,3.1,2407902
368,76561198080246936,soutys,1.2,16,2.9,2952106
369,76561198081601220,. zekU,1.4,16,2.6,1823566
370,76561198081834974,dron0,1.1,17,2.8,2798917
371,76561198087146080,tragedia,0.8,15,3.2,1560589
372,76561198092194473,PeTeeeeR,0.9,15,2.9,8678747
373,76561198094130398,Caroline,0.9,15,2.9,2693621
374,76561198095455473,HiTU,1.2,18,3.1,2005586
375,76561198099481536,Technik,0.9,15,4.1,1192381
376,76561198107154909,AriaN2019,1.4,18,1.3,3696461
377,76561198110216656,boxv;x,1.3,17,2.8,4274641
378,76561198112187413,Nynek,1.3,14,2.9,3989266
379,76561198118935921,andre,0.9,19,3.6,8179475
380,76561198120650160,eQuaLl,1.2,17,3.5,1226886
381,76561198120742789,#M0NTE,0.8,14,3.5,2870277
382,76561198121776076,Jakras,1.1,17,3.0,1589268
383,76561198125717862,Snowwww,1.1,15,3.3,3046026
384,76561198130159519,SwideR,1.2,19,2.6,1348294
385,76561198137603931,kojtas,1.1,17,3.4,4421868
386,76561198139480598,Gonzo Twitch.tv/Gonzo097,1.1,18,4.2,2067254
387,76561198139658918,moiz,1.4,16,2.8,3103829
388,76561198140054182,SwelderxBigCOCK,0.8,17,3.5,1096701
389,76561198141874481,arnoldS,1.0,15,3.8,1950755
390,76561198144834230,Kipok,1.1,13,2.8,1605766
391,76561198154104494,senssio,0.9,12,3.7,6473376
392,76561198155473219,CyCu,0.9,15,3.3,4195199
393,76561198156091343,Gjuby,0.9,18,3.7,5661547
394,76561198160123112,frogman,0.8,16,3.2,2123275
395,76561198162970216,splawikxd,1.0,15,2.9,4967925
396,76561198164506702,MAHATMA GANDHI OF GRID,0.9,15,3.1,1836771
397,76561198165314756,Lary,1.2,18,3.1,4964404
398,76561198165407654,crankk,1.3,17,2.9,4195746
399,76561198165428922,B3rNILasher,1.0,17,3.0,1948367
400,76561198168170939,NiX,1.2,17,3.0,2774253
401,76561198168271705,shnkkk,1.0,17,3.1,5536484
402,76561198169332706,Sosna,1.1,15,3.3,2351822
403,76561198173001265,-MrEasy-,1.1,18,3.5,2874796
404,76561198178483270,Grumpy,0.8,16,3.5,2406057
405,76561198182472002,frist,0.9,16,3.2,2638940
406,76561198185146611,merci,1.1,16,2.9,2230384
407,76561198190865773,s4viola,0.9,18,2.1,1529751
408,76561198198673319,mSx,1.0,15,3.5,2626670
409,76561198200528830,kub,0.9,15,3.2,3451772
410,76561198200742046,luy,1.2,15,3.3,3790634
411,76561198202696209,JuLKaa,1.3,17,2.9,1884703
412,76561198202771346,Chomik272,1.1,13,3.1,2561562
413,76561198203178149,ZireaeL,0.9,17,2.7,1187309
414,76561198212181115,StrazakO,1.0,16,3.1,2743421
415,76561198213887256,new stes;},1.1,17,3.3,2848031
416,76561198214309911,HeadHunter,0.9,16,3.1,3113832
417,76561198220466215,crd,1.0,17,3.1,848300
418,76561198223789724,jOUNTI.,1.0,15,2.8,2433047
419,76561198252742076,kisserek,0.9,14,3.1,1450257
420,76561198259199612,Olczix,1.0,17,3.2,1797436
421,76561198264096123,tayson 2K16,1.0,14,3.0,1933443
422,76561198280567862,Kemekk,0.9,17,1.7,1922983
423,76561198296180407,Daniel cs.money,0.9,17,3.4,2938161
424,76561198304372681,Benz,1.1,16,3.0,977262
425,76561198314063086,Skrzynski nt',1.1,16,3.0,2071425
426,76561198349583465,notik o/,1.0,18,3.4,2212846
427,76561198364285487,ThaX #2017,1.2,14,2.6,1864918
428,76561198403356124,smoly,0.8,16,3.1,1115346
429,76561198415810036,St1ler,1.1,16,2.9,429083
430,76561198844228958,Fazorek NT,0.8,14,3.3,1551674
431,76561198844283151,.SOONI,1.2,18,3.2,393059
432,76561198849211542,lowkefly Sb,1.2,16,3.0,1150773
433,76561197960375002,hendo,0.9,15,3.2,2565480
434,76561197960447193,weber,1.2,14,2.7,3170844
435,76561197960478052,Exerox,1.2,18,3.2,1731395
436,76561197960499780,TasmanianDevil,1.0,18,2.8,14853324
437,76561197960523873,Rejin,1.0,18,3.1,1429745
438,76561197960582244,3k2 // Shadow.gg,1.1,16,3.1,1231077
439,76561197961127184,zneel,1.3,18,3.1,1841429
440,76561197961358863,Goblin,1.2,15,3.0,5400213
441,76561197961421225,OS,0.9,14,3.1,3674942
442,76561197965017260,THAI_MING,1.1,16,3.3,608441
443,76561197965635338,vuu,1.1,17,3.0,809159
444,76561197965676129,vertiGo,1.1,16,2.5,2606008
445,76561197966583896,SeatloN^R1,1.6,18,3.6,1834773
446,76561197972311957,msk,1.5,20,2.6,1330397
447,76561197972571260,huGmach1ne *<|:D,1.3,15,2.6,2354905
448,76561197977549807,c0bb,1.0,13,3.4,1419891
449,76561197977656370,twitch.tv/osirisbash,1.0,15,3.0,3247205
450,76561197977831282,LENZ,0.9,16,3.7,839138
451,76561197978783300,Zatches,1.0,18,3.5,1091057
452,76561197983312745,jbj,1.2,15,2.6,2564070
453,76561197986194024,Realzx,1.2,19,3.4,405412
454,76561197987215213,Zyppe,2.6,19,2.6,4259295
455,76561197988262809,marvel,0.9,16,3.1,5744014
456,76561197989138127,DDP,1.0,16,3.0,3462130
457,76561197991598590,Noodles,1.2,17,3.0,1344356
